			[*strength.w=>-p]	[*footmin-none]	[*word-elision]	[*stress.w=>-p]	[*posthoc-standardize-weakpos]	[*stress.s=>-u]	[*footmin-no-s-unless-preceded-by-ww]	[*posthoc-no-final-ww]	[*strength.s=>-u]
Paused in their play to kiss the hand he extended to bless them.	PAUSED|in.their|PLAY|to|KISS|the|HAND|he.ex|TEND|ed.to|BLESS|them	2		3			3				
	paused|IN|their|PLAY|to|KISS|the|HAND|he.ex|TEND|ed.to|BLESS|them			2		1	2				
	paused|IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed.to|BLESS|them			2		1	1		1		
	paused|IN|their|PLAY|to|KISS|the|HAND|he.ex|TEND|ed|TO|bless|THEM			1		2	1	2			
	PAUSED|in.their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed.to|BLESS|them			3			2		1		
	PAUSED.IN|their|PLAY|to|KISS|the|HAND|he.ex|TEND|ed.to|BLESS|them			3			2		1		
	paused|IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed|TO|bless|THEM			1		2		2	1		
	PAUSED.IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed.to|BLESS|them			3			1		2		
	paused|IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed|TO.BLESS|them			2		1		1	2		
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he.ex|TEND|ed.to|BLESS.THEM			4			2	1			
	paused|IN|their|PLAY|to|KISS|the|HAND|he|EX|tend|ED|to|BLESS|them		1			2		2			2
	PAUSED.IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed|TO|bless|THEM			2		1		2	2		
	PAUSED.IN|their|PLAY|to|KISS|the|HAND.HE|ex|TEND|ed|TO.BLESS|them			3				1	3		
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he|EX|tend|ED|to|BLESS|them		1	1		1	1	2			2
	PAUSED.IN|their|PLAY|to|KISS|the|HAND|he|EX|tend|ED|to|BLESS|them		1	1		1		2	1		2
	PAUSED|in|THEIR|play|TO|kiss|THE|hand|HE|ex|TEND|ed|TO|bless|THEM					4		5			
Reverend walked he among them; and up rose matrons and maidens,	RE|ve.rend|WALKED|he.am|ONG|them.and|UP|rose|MA|trons.and|MAID|ens	2		4		1	2	1			
	REV|erend|WALKED|he.am|ONG|them|AND|up|ROSE|ma|TRONS|and|MAID|ens		1	1		1	1	2			1
	RE|ve|REND|walked|HE|am|ONG|them|AND|up|ROSE|ma|TRONS|and|MAID|ens		1			2		3			1
	REV|erend|WALKED|he.am|ONG|them|AND|up|ROSE.MA|trons.and|MAID|ens			3			2	1	1		
	RE|ve|REND|walked|HE|am|ONG|them|AND|up|ROSE.MA|trons.and|MAID|ens			2		1	1	2	1		
	REV|erend|WALKED.HE|am|ONG|them|AND|up|ROSE|ma|TRONS|and|MAID|ens		1	1		1		2	1		1
	REV|erend|WALKED.HE|am|ONG|them|AND|up|ROSE.MA|trons.and|MAID|ens			3			1	1	2		
	RE|ve.rend|WALKED|he.am|ONG|them|AND|up.rose|MA|trons.and|MAID|ens			4		1	2	1			
	REV|erend|WALKED|he.am|ONG|them|AND|up.rose|MA|trons.and|MAID|ens			3		1	3	1			
	REV|erend|WALKED|he.am|ONG|them.and|UP|rose|MA|trons.and|MAID|ens			3		1	3	1			
	RE|ve|REND|walked|HE|am|ONG|them|AND|up.rose|MA|trons.and|MAID|ens			2		2	2	2			
	RE|ve|REND|walked|HE|am|ONG|them.and|UP|rose|MA|trons.and|MAID|ens			2		2	2	2			
	RE|ve|REND|walked|HE|am|ONG|them|AND|up|ROSE.MA|trons|AND.MAID|ens			2		1		3	2		
	REV|erend|WALKED.HE|am|ONG|them|AND|up|ROSE.MA|trons|AND.MAID|ens			3				2	3		
	RE|ve|REND|walked|HE|am|ONG|them|AND|up.rose|MA|trons|AND.MAID|ens			2		2	1	3	1		
	RE|ve|REND|walked|HE|am|ONG|them.and|UP|rose|MA|trons|AND.MAID|ens			2		2	1	3	1		
	RE|ve.rend|WALKED|he.am|ONG|them|AND|up.rose|MA|trons.and|MAID.ENS			5		1	1	2			1
	RE|ve.rend|WALKED|he.am|ONG|them.and|UP|rose|MA|trons.and|MAID.ENS			5		1	1	2			1
Hailing his slow approach with words of affectionate welcome.	HAIL|ing.his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion.ate|WEL|come	2		3			3				
	HAIL|ing.his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion|ATE.WEL|come			3			2	1	1		
	HAIL|ing.his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion.ate|WEL.COME			4			2	1			1
	hail|ING|his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion.ate|WEL|come		1	2		1	2	1			1
	HAIL|ing.his|SLOW|ap|PROACH|with|WORDS|of|AF|fec|TION|ate|WEL|come		1	1		1	1	2			2
	HAIL|ing.his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion|ATE|wel|COME		1	2		1	2	2			1
	hail|ING|his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion|ATE.WEL|come		1	2		1	1	2	1		1
	hail|ING|his|SLOW|ap|PROACH|with|WORDS|of|AF|fec|TION|ate|WEL|come		2			2		3			3
	HAIL|ing|HIS|slow|AP|proach|WITH|words|OF|af|FEC|tion.ate|WEL|come		1	1		3	1	4			1
	hail|ING|his|SLOW|ap|PROACH|with|WORDS|of.af|FEC|tion|ATE|wel|COME		2	1		2	1	3			2
	HAIL|ing|HIS|slow|AP|proach|WITH|words|OF|af|FEC|tion|ATE.WEL|come		1	1		3		5	1		1
	HAIL|ing|HIS|slow|AP|proach|WITH|words|OF|af|FEC|tion|ATE|wel|COME		2			4		6			2
Then came the laborers home from the field, and serenely the sun sank	then|CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.ser|ENE|ly.the|SUN.SANK			5			2				
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and.se|RE|ne|LY|the|SUN|sank			1		2	1	3			
	then|CAME|the|LA|bor.ers|HOME|from|THE|field|AND|se|RE|ne|LY|the|SUN|sank			1		2	1	3			
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and.ser|ENE|ly|THE|sun|SANK			1		2	1	3			
	then|CAME|the|LA|bor.ers|HOME|from|THE|field|AND|ser|ENE|ly|THE|sun|SANK			1		2	1	3			
	then|CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.ser|ENE|ly.the|SUN|sank			4		1	3				
	then|CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.se|RE|ne|LY|the|SUN|sank			3		1	3	1			
	then|CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.ser|ENE|ly|THE|sun|SANK			3		1	3	1			
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and.ser|ENE|ly.the|SUN.SANK			3		1	2	2			
	then|CAME|the|LA|bor.ers|HOME|from|THE|field|AND|ser|ENE|ly.the|SUN.SANK			3		1	2	2			
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and.ser|ENE|ly.the|SUN|sank			2		2	2	2			
	then|CAME|the|LA|bor.ers|HOME|from|THE|field|AND|ser|ENE|ly.the|SUN|sank			2		2	2	2			
	THEN.CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.ser|ENE|ly.the|SUN.SANK			6			1		1		
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and.se|RE|ne|LY|the|SUN.SANK			2		1	1	3	1		
	then|CAME|the|LA|bor.ers|HOME|from|THE|field|AND|se|RE|ne|LY|the|SUN.SANK			2		1	1	3	1		
	then|CAME|the|LA|bor.ers|HOME|from.the|FIELD|and.se|RE|ne|LY|the|SUN.SANK			4			3	1	1		
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and|SER|ene|LY|the|SUN|sank		1			3		4			2
	THEN|came|THE|la|BOR|ers|HOME|from|THE|field|AND|se|RE|ne|LY|the|SUN|sank		1			4		5			1
	THEN|came|THE|la|BOR|ers|HOME|from|THE|field|AND|ser|ENE|ly|THE|sun|SANK		1			4		5			1
	then|CAME|the|LA|bor|ERS|home|FROM|the|FIELD|and|SER|ene|LY|the|SUN.SANK		1	1		2		4	1		2
	THEN|came|THE|la|BOR|ers|HOME|from|THE|field|AND|se|RE|ne|LY|the|SUN.SANK		1	1		3		5	1		1
Down to his rest, and twilight prevailed. Anon from the belfry	down|TO|his|REST|and|TWI|light.pre|VAILED|a|NON|from.the|BEL|fry			2		1	2	1			
	down|TO|his|REST|and|TWI.LIGHT|pre|VAILED|a|NON|from.the|BEL|fry			2			1	1	1		1
	down|TO|his|REST|and|TWI|light.pre|VAILED|a|NON|from|THE.BEL|fry			2		1	1	2	1		
	down|TO|his|REST|and|TWI.LIGHT|pre|VAILED|a|NON|from|THE.BEL|fry			2				2	2		1
	DOWN|to|HIS|rest|AND|twi|LIGHT|pre|VAILED|a|NON|from.the|BEL|fry		1	1		2	1	3			1
	down|TO|his|REST|and|TWI|light.pre|VAILED|a|NON|from|THE|bel|FRY		1	1		2	1	3			1
	down|TO|his|REST|and|TWI.LIGHT|pre|VAILED|a|NON|from|THE|bel|FRY		1	1		1		3	1		2
	DOWN|to|HIS|rest|AND|twi|LIGHT|pre|VAILED|a|NON|from|THE.BEL|fry		1	1		2		4	1		1
	down|TO|his|REST|and|TWI|light|PRE|vailed|A|non|FROM|the|BEL|fry		2			3		4			2
Softly the Angelus sounded, and over the roofs of the village	SOFT|ly.the|AN|ge.lus|SOUND|ed.and|OV|er.the|ROOFS|of.the|VIL|lage	2		5			1				
	SOFT|ly.the|AN|ge.lus|SOUND|ed.and|OV|er.the|ROOFS|of.the|VIL.LAGE			6				1			1
	SOFT|ly.the|AN|ge.lus|SOUND|ed.and|OV|er|THE|roofs|OF|the|VIL|lage			3		1	3	2			
	SOFT|ly|THE|an|GE|lus|SOUND|ed.and|OV|er|THE|roofs|OF|the|VIL|lage		1	1		2	1	4			1
	SOFT|ly.the|AN|ge|LUS|sound|ED|and|OV|er|THE|roofs|OF|the|VIL|lage		1	1		2	1	4			1
	soft|LY|the|AN|ge.lus|SOUND|ed.and|OV|er.the|ROOFS|of.the|VIL|lage		1	4		1	3	1			1
	SOFT|ly|THE|an|GE|lus|SOUND|ed.and|OV|er.the|ROOFS|of.the|VIL|lage		1	3		1	3	2			1
	SOFT|ly.the|AN|ge|LUS|sound|ED|and|OV|er.the|ROOFS|of.the|VIL|lage		1	3		1	3	2			1
	SOFT|ly.the|AN|ge.lus|SOUND|ed.and|OV|er.the|ROOFS|of|THE|vil|LAGE		1	4		1	2	2			1
	soft|LY|the|AN|ge.lus|SOUND|ed.and|OV|er|THE|roofs|OF|the|VIL|lage		1	2		2	2	3			1
	soft|LY|the|AN|ge|LUS|sound|ED|and|OV|er|THE|roofs|OF|the|VIL|lage		2			3		5			2
	SOFT|ly|THE|an|GE|lus|SOUND|ed.and|OV|er.the|ROOFS|of|THE.VIL|lage		1	3		1	2	3	1		1
	SOFT|ly.the|AN|ge|LUS|sound|ED|and|OV|er.the|ROOFS|of|THE.VIL|lage		1	3		1	2	3	1		1
	SOFT|ly.the|AN|ge.lus|SOUND|ed|AND|ov|ER|the|ROOFS|of|THE.VIL|lage		1	3		1	2	3	1		1
	soft|LY|the|AN|ge.lus|SOUND|ed.and|OV|er.the|ROOFS|of.the|VIL.LAGE		1	5		1	2	2			2
	soft|LY|the|AN|ge|LUS|sound|ED|and|OV|er.the|ROOFS|of.the|VIL|lage		2	2		2	2	3			2
	SOFT|ly|THE|an|GE|lus|SOUND|ed|AND|ov|ER|the|ROOFS|of|THE.VIL|lage		2	1		2		5	1		2
	soft|LY|the|AN|ge|LUS|sound|ED|and|OV|er.the|ROOFS|of|THE.VIL|lage		2	2		2	1	4	1		2
	soft|LY|the|AN|ge.lus|SOUND|ed|AND|ov|ER|the|ROOFS|of|THE.VIL|lage		2	2		2	1	4	1		2
Columns of pale blue smoke, like clouds of incense ascending,	COL|umns.of|PALE|blue|SMOKE|like|CLOUDS|of|IN|cense.as|CEND|ing [*Bounded]	2		2		2	2				
	COL|umns.of|PALE|blue|SMOKE|like|CLOUDS|of.in|CENSE|as|CEND|ing			2		1	2				
	COL|umns|OF|pale|BLUE|smoke|LIKE|clouds|OF|in|CENSE|as|CEND|ing					3		2			
	COL|umns.of|PALE|blue|SMOKE|like|CLOUDS|of|IN.CENSE|as|CEND|ing			2		1	1		1		1
	col|UMNS|of|PALE|blue|SMOKE|like|CLOUDS|of.in|CENSE|as|CEND|ing		1	1		2	1	1			1
	col|UMNS|of|PALE|blue|SMOKE|like|CLOUDS|of|IN.CENSE|as|CEND|ing		1	1		2		1	1		2
Rose from a hundred hearths, the homes of peace and contentment.	ROSE|from.a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and.con|TENT|ment	2		2			2				
	rose|FROM|a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and.con|TENT|ment			1		1	1	1			
	ROSE|from.a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and|CON.TENT|ment			2			1	1	1		1
	rose|FROM|a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and|CON.TENT|ment			1		1		2	1		1
	ROSE|from.a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and|CON|tent|MENT		1	1		1	1	2			2
	rose|FROM|a|HUN|dred|HEARTHS|the|HOMES|of|PEACE|and|CON|tent|MENT		1			2		3			2
	ROSE|from|A|hun|DRED|hearths|THE|homes|OF|peace|AND|con|TENT|ment		1			4		5			1
Thus dwelt together in love these simple Acadian farmers,	thus|DWELT|to|GETH|er.in|LOVE|these|SIM|ple.aca|DI|an|FARM|ers			2	1	1	2				
	thus|DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.aca|DI|an|FARM|ers			2	1	1	1		1		
	thus|DWELT|to|GETH|er.in|LOVE|these|SIM|ple.ac|AD|ia.n|FARM|ers			3		1	3				
	THUS.DWELT|to|GETH|er.in|LOVE|these|SIM|ple.aca|DI|an|FARM|ers			3	1		2		1		
	thus|DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia.n|FARM|ers			3		1	2		1		
	THUS.DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.aca|DI|an|FARM|ers			3	1		1		2		
	THUS.DWELT|to|GETH|er.in|LOVE|these|SIM|ple.ac|AD|ia.n|FARM|ers			4			3		1		
	thus|DWELT|to|GETH|er|IN|love|THESE|sim|PLE|aca|DI|an|FARM|ers		1		1	3		2			1
	THUS.DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia.n|FARM|ers			4			2		2		
	thus|DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia|N.FARM|ers			3		1	1	1	2		
	thus|DWELT|to|GETH|er|IN|love|THESE|sim|PLE|ac|AD|ia.n|FARM|ers		1	1		3	1	2			1
	thus|DWELT|to|GETH|er.in|LOVE|these|SIM|ple|AC|ad|IA|n|FARM|ers		1	1		2	1	2			2
	THUS.DWELT|to|GETH|er|IN|love|THESE|sim|PLE|aca|DI|an|FARM|ers		1	1	1	2		2	1		1
	thus|DWELT|to|GETH|er|IN.LOVE|these|SIM|ple|AC|ad|IA|n|FARM|ers		1	1		2		2	1		2
	THUS.DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia|N.FARM|ers			4			1	1	3		
	thus|DWELT|to|GETH|er.in|LOVE|these|SIM|ple.ac|AD|ia|N|farm|ERS		1	2		2	2	2			1
	THUS.DWELT|to|GETH|er.in|LOVE|these|SIM|ple.ac|AD|ia.n|FARM.ERS			5			2	1	1		1
	THUS.DWELT|to|GETH|er|IN|love|THESE|sim|PLE|ac|AD|ia.n|FARM|ers		1	2		2	1	2	1		1
	thus|DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia|N|farm|ERS		1	2		2	1	2	1		1
	THUS.DWELT|to|GETH|er.in|LOVE|these|SIM|ple|AC|ad|IA|n|FARM|ers		1	2		1	1	2	1		2
	thus|DWELT|to|GETH|er|IN|love|THESE|sim|PLE|ac|AD|ia|N.FARM|ers		1	1		3		3	1		1
	THUS.DWELT|to|GETH|er|IN.LOVE|these|SIM|ple|AC|ad|IA|n|FARM|ers		1	2		1		2	2		2
	THUS|dwelt|TO|geth|ER|in|LOVE|these|SIM|ple.ac|AD|ia.n|FARM|ers		1	2		2	2	2			2
	THUS.DWELT|to|GETH|er|IN.LOVE|these|SIM|ple.ac|AD|ia|N|farm|ERS		1	3		1	1	2	2		1
	THUS.DWELT|to|GETH|er|IN|love|THESE|sim|PLE|ac|AD|ia|N.FARM|ers		1	2		2		3	2		1
	thus|DWELT|to|GETH|er|IN|love|THESE|sim|PLE|ac|AD|ia|N|farm|ERS		2			4		4			2
	THUS|dwelt|TO|geth|ER|in|LOVE|these|SIM|ple|AC|ad|IA|n|FARM|ers		2			3		4			4
Dwelt in the love of God and of man. Alike were they free from	DWELT|in.the|LOVE|of|GOD|and.of|MAN|al|IKE|were.they|FREE|from	2		3			3				
	dwelt|IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were.they|FREE|from			2		1	2				
	dwelt|IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were|THEY|free|FROM			1		2	1	1			
	dwelt|IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were|THEY.FREE|from			2		1	1		1		
	DWELT|in.the|LOVE|of|GOD|and.of|MAN|al|IKE|were|THEY.FREE|from			3			2		1		
	DWELT.IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were.they|FREE|from			3			2		1		
	DWELT.IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were|THEY|free|FROM			2		1	1	1	1		
	DWELT.IN|the|LOVE|of|GOD|and.of|MAN|al|IKE|were|THEY.FREE|from			3			1		2		
	DWELT|in.the|LOVE|of|GOD|and.of|MAN|al|IKE|were.they|FREE.FROM			4			2	1			
	DWELT|in|THE|love|OF|god|AND|of|MAN|al|IKE|were|THEY|free|FROM					3		4			
	DWELT|in|THE|love|OF|god|AND|of|MAN|al|IKE|were|THEY.FREE|from			1		2		3	1		
	dwelt|IN|the|LOVE|of|GOD|and|OF|man|AL|ike|WERE|they|FREE|from		1			3		3			1
Fear, that reigns with the tyrant, and envy, the vice of republics.	FEAR|that|REIGNS|with.the|TYR|ant.and|EN|vy.the|VICE|of.rep|UBL|ics	2		4			2				
	FEAR|that|REIGNS|with.the|TYR|ant.and|EN|vy|THE|vice|OF|rep|UBL|ics			2		1	2	2			
	FEAR|that|REIGNS|with.the|TYR|ant.and|EN|vy.the|VICE|of.rep|UBL.ICS			5			1	1			1
	fear|THAT|reigns|WITH|the|TYR|ant.and|EN|vy|THE|vice|OF|rep|UBL|ics			1		3	1	3			
	FEAR|that|REIGNS|with|THE|tyr|ANT|and|EN|vy|THE|vice|OF|rep|UBL|ics		1			2		4			1
	fear|THAT|reigns|WITH|the|TYR|ant.and|EN|vy.the|VICE|of.rep|UBL|ics			3		2	3	1			
	FEAR|that|REIGNS|with|THE|tyr|ANT|and|EN|vy.the|VICE|of.rep|UBL|ics		1	2		1	2	2			1
	FEAR|that|REIGNS|with|THE|tyr|ANT|and|EN|vy.the|VICE|of|REP.UBL|ics		1	2		1	1	3	1		2
	FEAR|that|REIGNS|with.the|TYR|ant|AND|en|VY|the|VICE|of|REP.UBL|ics		1	2		1	1	3	1		2
Neither locks had they to their doors, nor bars to their windows;	NEI|ther|LOCKS|had|THEY|to.their|DOORS|nor|BARS|to.their|WIN|dows	2		2			2				
	NEI|ther|LOCKS|had|THEY|to|THEIR|doors|NOR|bars|TO|their|WIN|dows					2		3			
	NEI|ther|LOCKS.HAD|they|TO|their|DOORS|nor|BARS|to.their|WIN|dows			2			1	1	1		
	NEI|ther|LOCKS|had|THEY|to.their|DOORS|nor|BARS|to|THEIR.WIN|dows			2			1	1	1		
	NEI|ther|LOCKS.HAD|they|TO|their|DOORS|nor|BARS|to|THEIR.WIN|dows			2				2	2		
	NEI|ther|LOCKS|had|THEY|to.their|DOORS|nor|BARS|to|THEIR|win|DOWS		1	1		1	1	2			1
	NEI|ther|LOCKS.HAD|they|TO|their|DOORS|nor|BARS|to|THEIR|win|DOWS		1	1		1		3	1		1
But their dwellings were open as day and the hearts of the owners;	BUT|their|DWE|llings.were|OP|en.as|DAY|and.the|HEARTS|of.the|OWN|ers	2		4			2	1			
	but.their|DWE|llings.were|OP|en.as|DAY|and.the|HEARTS|of.the|OWN|ers			5			1				
	but.their|DWE|llings.were|OP|en.as|DAY|and.the|HEARTS|of.the|OWN.ERS			6				1			1
	BUT|their|DWE|llings.were|OP|en|AS|day|AND|the|HEARTS|of.the|OWN|ers			2		1	2	3			
	BUT|their|DWE|llings.were|OP|en.as|DAY|and|THE|hearts|OF|the|OWN|ers			2		1	2	3			
	but.their|DWE|llings.were|OP|en|AS|day|AND|the|HEARTS|of.the|OWN|ers			3		1	3	2			
	but.their|DWE|llings.were|OP|en.as|DAY|and|THE|hearts|OF|the|OWN|ers			3		1	3	2			
	BUT|their|DWE|llings.were|OP|en.as|DAY|and.the|HEARTS|of.the|OWN.ERS			5			1	2			1
	BUT|their|DWE|llings|WERE|op|EN|as|DAY|and|THE|hearts|OF|the|OWN|ers		1			2		5			1
	BUT|their|DWE|llings.were|OP|en|AS|day|AND|the|HEARTS|of|THE.OWN|ers			2		1	1	4	1		
	but|THEIR|dwe|LLINGS|were|OP|en|AS|day|AND|the|HEARTS|of.the|OWN|ers		1	1		2	1	4			1
	but|THEIR|dwe|LLINGS|were|OP|en.as|DAY|and|THE|hearts|OF|the|OWN|ers		1	1		2	1	4			1
	but.their|DWE|llings|WERE|op|EN|as|DAY|and|THE|hearts|OF|the|OWN|ers		1	1		2	1	4			1
	but.their|DWE|llings.were|OP|en|AS|day|AND|the|HEARTS|of|THE.OWN|ers			3		1	2	3	1		
	but|THEIR|dwe|LLINGS|were|OP|en.as|DAY|and.the|HEARTS|of.the|OWN|ers		1	3		1	3	2			1
	but.their|DWE|llings.were|OP|en.as|DAY|and.the|HEARTS|of|THE|own|ERS		1	4		1	2	2			1
	but|THEIR|dwe|LLINGS|were|OP|en.as|DAY|and.the|HEARTS|of|THE.OWN|ers		1	3		1	2	3	1		1
There the richest was poor, and the poorest lived in abundance.	THERE|the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in.ab|UN|dance	2		3			3	1			
	there.the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in.ab|UN|dance			4			2				
	THERE|the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED|in.ab|UN|dance			1		1	1	3			
	THERE|the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED.IN|ab|UN|dance			1		1		3	1		
	there.the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED|in.ab|UN|dance			2		1	2	2			
	THERE|the|RICH|est.was|POOR|and.the|POOR|est|LIVED.IN|ab|UN|dance			3			2	1	1		
	there.the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED.IN|ab|UN|dance			2		1	1	2	1		
	there.the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in.ab|UN.DANCE			5			1	1			1
	THERE|the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in.ab|UN.DANCE			4			2	2			1
	there.the|RICH|est.was|POOR|and.the|POOR|est.lived|IN|ab.un|DANCE		1	5		2		1			1
	THERE|the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED|in|AB|un|DANCE		1			2		5			2
	THERE|the|RICH|est.was|POOR|and.the|POOR|est.lived|IN|ab.un|DANCE		1	4		2	1	2			1
	THERE|the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in|AB|un|DANCE		1	2		1	2	3			2
	there.the|RICH|est|WAS|poor|AND|the|POOR|est|LIVED|in|AB|un|DANCE		1	1		2	1	4			2
	there|THE|rich|EST|was|POOR|and|THE|poor|EST|lived|IN|ab|UN|dance		2			3		4			2
	there.the|RICH|est.was|POOR|and.the|POOR|est|LIVED|in|AB|un|DANCE		1	3		1	3	2			2
Somewhat apart from the village, and nearer the Basin of Minas,	some|WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er.the|BAS|in.of|MI|nas			4		1	3				
	SOME.WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er.the|BAS|in.of|MI|nas			5			2		1		
	some|WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er.the|BAS|in.of|MI.NAS			5		1	2	1			1
	some|WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er.the|BAS|in.of|MI|nas		1	2		2	2	2			1
	some|WHAT|ap|ART|from.the|VIL|lage|AND|near|ER|the|BAS|in.of|MI|nas		1	2		2	2	2			1
	some|WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er|THE|bas|IN|of|MI|nas		1	2		2	2	2			1
	SOME.WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er.the|BAS|in.of|MI.NAS			6			1	1	1		1
	some|WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er|THE|bas|IN|of|MI|nas		2			3		4			2
	SOME.WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er.the|BAS|in.of|MI|nas		1	3		1	2	2	1		1
	SOME.WHAT|ap|ART|from.the|VIL|lage|AND|near|ER|the|BAS|in.of|MI|nas		1	3		1	2	2	1		1
	SOME.WHAT|ap|ART|from.the|VIL|lage.and|NEAR|er|THE|bas|IN|of|MI|nas		1	3		1	2	2	1		1
	some|WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er.the|BAS|in|OF.MI|nas		1	2		2	1	3	1		1
	some|WHAT|ap|ART|from.the|VIL|lage|AND|near|ER|the|BAS|in|OF.MI|nas		1	2		2	1	3	1		1
	SOME.WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er|THE|bas|IN|of|MI|nas		2	1		2		4	1		2
	SOME.WHAT|ap|ART|from|THE|vil|LAGE|and|NEAR|er.the|BAS|in|OF.MI|nas		1	3		1	1	3	2		1
	SOME.WHAT|ap|ART|from.the|VIL|lage|AND|near|ER|the|BAS|in|OF.MI|nas		1	3		1	1	3	2		1
Benedict Bellefontaine, the wealthiest farmer of Grand-Pré,	BE|ne|DICT.BE|ll|EF|ontaine.the|WEAL|thiest|FAR|mer|OF|grand|PRé			2	1	1	1	1	1		
	BE|ne|DICT|be.ll|EF|ontaine.the|WEALTH|i.est|FAR|mer.of|GRAND.PRé		1	5		1	1				
	BE|ne.dict|BE|ll|EF|ontaine.the|WEALTH|i.est|FAR|mer.of|GRAND.PRé		1	5		1	1				
	BE|ne|DICT.BE|ll|EF|ontaine.the|WEALTH|i.est|FAR|mer.of|GRAND.PRé			5			2		1		
	BE|ne|DICT.BE|ll|EF|ontaine.the|WEAL|thiest|FAR|mer.of|GRAND.PRé			4	1		2		1		
	BE|ne|DICT.BE|ll|EF|ontaine.the|WEAL|thiest|FAR|mer.of|GRAND|pré			3	1	1	2		1		
	BE|ne|DICT.BE|ll|EF|ontaine.the|WEALTH|i.est|FAR|mer|OF|grand|PRé			3		1	2	1	1		
	BE|ne|DICT|be.ll|EF|ontaine.the|WEAL|thiest|FAR|mer.of|GRAND.PRé		1	4	1	1	2				
	BE|ne.dict|BE|ll|EF|ontaine.the|WEAL|thiest|FAR|mer.of|GRAND.PRé		1	4	1	1	2				
	BE|ne|DICT|be.ll|EF|ontaine.the|WEALTH|i.est|FAR|mer.of|GRAND|pré		1	4		2	2				
	BE|ne.dict|BE|ll|EF|ontaine.the|WEALTH|i.est|FAR|mer.of|GRAND|pré		1	4		2	2				
	BE|ne|DICT|be.ll|EF|ontaine.the|WEAL|thiest|FAR|mer|OF|grand|PRé		1	2	1	2	2	1			
