			[*strength.w=>-p]	[*footmin-w-resolution]	[*footmin-f-resolution]	[*stress.s=>-u]	[*stress.w=>-p]
	SUCH*|as.the|PEAS|ants.of*|NOR|man|DY*|built*|IN|the|REIGN|of.the|HENRIES				1	2	1
	such|AS*|the|PEAS.ANTS*|of|NOR|man|DY.BUILT*|in.the|REIGN|of.the|HENRIES				1	3	
	SUCH*|as.the|PEAS.ANTS*|of|NOR|man|DY.BUILT*|in.the|REIGN|of.the|HENRIES				1	3	
	such|AS*|the|PEAS|ants.of*|NOR|man|DY.BUILT*|in.the|REIGN|of.the|HENRIES				2	2	
	SUCH*|as.the|PEAS|ants.of*|NOR|man|DY.BUILT*|in.the|REIGN|of.the|HENRIES				2	2	
Thatched were the roofs, with dormer-windows; and gables projecting	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and*|GAB|les.pro*|JECT|ing	1			2		
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and*|GAB|les|PRO.JECT*|ing			1	1	1	
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows.and*|GAB.LES*|pro|JECT|ing			1	1	1	
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN.DOWS*|and|GAB|les.pro*|JECT|ing			1	1	1	
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN.DOWS*|and|GAB|les|PRO.JECT*|ing			2		2	
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN.DOWS*|and|GAB.LES*|pro|JECT|ing			2		2	
	THATCHED|were.the|ROOFS|with|DOR|mer|WIN|dows|AND*|gab*|LES*|pro|JECT|ing		1			2	1
Over the basement below protected and shaded the doorway.	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*	2			4		1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			1	4		
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*			1	3	1	1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			1	3	1	1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			1	3	1	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*			1	3	1	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*			1	3	1	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			2	3	1	
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			2	3	1	
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			2	3	1	
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			2	3	1	
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			2	3	1	
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1		3	1	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			2	2	2	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			2	2	2	1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			2	2	2	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			2	2	2	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			2	2	2	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*			2	2	2	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			2	2	2	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			2	2	2	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*			2	2	2	1
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*		1		2	2	2
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1		2	2	2
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			3	2	2	
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			3	2	2	
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			3	2	2	
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			3	2	2	
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			3	2	2	
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			3	2	2	
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			3	2	2	
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			3	2	2	
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*			3	2	2	
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*		1	1	2	2	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1	1	2	2	1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	1	2	2	1
	OV|er.the*|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	1	2	2	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1	1	2	2	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1	1	2	2	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR|way*		1		3	1	2
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed.the*|DOOR.WAY*		1	1	3	1	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			3	1	3	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			3	1	3	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			3	1	3	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			3	1	3	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			3	1	3	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*			3	1	3	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*			3	1	3	1
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*		1	1	1	3	2
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*		1	1	1	3	2
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1	1	1	3	2
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1	1	1	3	2
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1	1	1	3	2
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			4	1	3	
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			4	1	3	
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			4	1	3	
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			4	1	3	
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			4	1	3	
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*			4	1	3	
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*			4	1	3	
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*		1	2	1	3	1
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*		1	2	1	3	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	2	1	3	1
	OV|er.the*|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	2	1	3	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	2	1	3	1
	OV|er.the*|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	2	1	3	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1	2	1	3	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	2	1	3	1
	OV.ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	2	1	3	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		1	2	1	3	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR|way*		1	1	2	2	2
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR|way*		1	1	2	2	2
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		2		1	3	2
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD.ED*|the|DOOR.WAY*		1	2	2	2	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed.the*|DOOR.WAY*		1	2	2	2	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed.and*|SHAD|ed|THE*|door*|WAY		2		2	2	2
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			4		4	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*			4		4	1
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*		1	2		4	2
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1	2		4	2
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		1	2		4	2
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		2			4	3
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			5		4	
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*			5		4	
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*		1	3		4	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	3		4	1
	OV.ER*|the|BASE|ment|BE.LOW*|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	3		4	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		1	3		4	1
	OV.ER*|the|BASE.MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		1	3		4	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR|way*		1	2	1	3	2
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		2	1		4	2
	OV|er|THE*|base*|MENT*|be|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		2	1		4	2
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR|way*		2		1	3	3
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD.ED*|the|DOOR.WAY*		1	3	1	3	1
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT|ed|AND*|shad*|ED*|the|DOOR.WAY*		2	1	1	3	2
	ov*|ER*|the|BASE|ment.be*|LOW|pro|TECT.ED*|and|SHAD|ed|THE*|door*|WAY		2	1	1	3	2
There in the tranquil evenings of summer, when brightly the sunset	THERE*|in.the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT|ly.the*|SUN|set* [*Bounded]	2			3	1	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM.MER*|when|BRIGHT|ly.the*|SUN|set*				2	1	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer|WHEN.BRIGHT*|ly.the*|SUN|set*				3		1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT|ly.the*|SUN|set*				3		1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM.MER*|when|BRIGHT|ly.the*|SUN.SET*			1	2	1	
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer|WHEN.BRIGHT*|ly.the*|SUN.SET*			1	3		
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT|ly.the*|SUN.SET*			1	3		
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM.MER*|when|BRIGHT.LY*|the|SUN|set*			1	1	2	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM.MER*|when|BRIGHT|ly.the*|SUN|set*			1	1	2	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT.LY*|the|SUN|set*			1	2	1	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer.when*|BRIGHT|ly.the*|SUN|set*			1	2	1	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM.MER*|when|BRIGHT.LY*|the|SUN.SET*			2	1	2	
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM.MER*|when|BRIGHT|ly.the*|SUN.SET*			2	1	2	
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer|WHEN|bright*|LY*|the|SUN|set*		1		1	1	2
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM.MER*|when|BRIGHT|ly|THE*|sun*|SET		1		1	2	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT.LY*|the|SUN.SET*			2	2	1	
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer.when*|BRIGHT|ly.the*|SUN.SET*			2	2	1	
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer|WHEN|bright*|LY*|the|SUN.SET*		1	1	1	1	1
	there|IN|the|TRAN|quil|EVE|nings.of*|SUM|mer.when*|BRIGHT|ly|THE*|sun*|SET		1		2	1	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM.MER*|when|BRIGHT.LY*|the|SUN|set*			2		3	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer.when*|BRIGHT.LY*|the|SUN|set*			2	1	2	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM.MER*|when|BRIGHT.LY*|the|SUN.SET*			3		3	
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer|WHEN|bright*|LY*|the|SUN|set*		1	1		2	2
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM.MER*|when|BRIGHT|ly|THE*|sun*|SET		1	1		3	1
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer.when*|BRIGHT.LY*|the|SUN.SET*			3	1	2	
	there|IN|the|TRAN|quil|EVE.NINGS*|of|SUM|mer|WHEN|bright*|LY*|the|SUN.SET*		1	2		2	1
	there|IN|the|TRAN|quil|EVE|nings|OF*|sum*|MER*|when|BRIGHT|ly|THE*|sun*|SET		2			3	2
	there|IN|the|TRAN|quil|EVE|nings|OF*|sum.mer*|WHEN|bright*|LY*|the|SUN|set*		2			2	3
	there|IN|the|TRAN|quil|EVE|nings|OF*|sum.mer*|WHEN|bright*|LY*|the|SUN.SET*		2	1		2	2
Lighted the village street, and gilded the vanes on the chimneys,	LIGHT|ed.the*|VIL|lage|STREET|and|GILD|ed.the*|VANES|on.the|CHIM|neys	1			2		
	LIGHT|ed.the*|VIL|lage|STREET|and|GILD.ED*|the|VANES|on.the|CHIM|neys	1		1	1	1	
	LIGHT.ED*|the|VIL|lage|STREET|and|GILD|ed.the*|VANES|on.the|CHIM|neys			1	1	1	
	LIGHT|ed.the*|VIL|lage|STREET|and|GILD|ed|THE*|vanes*|ON*|the|CHIM|neys				1	2	1
	LIGHT.ED*|the|VIL|lage|STREET|and|GILD.ED*|the|VANES|on.the|CHIM|neys			2		2	
	light*|ED*|the|VIL|lage|STREET|and|GILD|ed.the*|VANES|on.the|CHIM|neys		1		1	1	1
	LIGHT|ed|THE*|vil.lage*|STREET|and|GILD|ed.the*|VANES|on.the|CHIM|neys		1		1	1	1
	LIGHT.ED*|the|VIL|lage|STREET|and|GILD|ed|THE*|vanes*|ON*|the|CHIM|neys			1		3	1
	light*|ED*|the|VIL|lage|STREET|and|GILD.ED*|the|VANES|on.the|CHIM|neys		1	1		2	1
	LIGHT|ed|THE*|vil.lage*|STREET|and|GILD.ED*|the|VANES|on.the|CHIM|neys		1	1		2	1
	light*|ED*|the|VIL|lage|STREET|and|GILD|ed|THE*|vanes*|ON*|the|CHIM|neys		1			3	2
	LIGHT|ed|THE*|vil.lage*|STREET|and|GILD|ed|THE*|vanes*|ON*|the|CHIM|neys		1			3	2
Matrons and maidens sat in snow-white caps and in kirtles	MA|trons.and*|MAID|ens|SAT|in|SNOW|white*|CAPS|and.in|KIRTLES				1		1
	MA.TRONS*|and|MAID|ens|SAT|in|SNOW|white*|CAPS|and.in|KIRTLES			1		1	1
	ma*|TRONS*|and|MAID|ens|SAT|in|SNOW|white*|CAPS|and.in|KIRTLES		1			1	2
Scarlet and blue and green, with distaffs spinning the golden	SCAR|let.and*|BLUE|and|GREEN|with|DISTAFFS.SPIN*|ning.the*|GOLD|en				3		
	SCAR|let.and*|BLUE|and|GREEN|with.distaffs*|SPIN.NING*|the|GOLD|en				2	1	1
	SCAR.LET*|and|BLUE|and|GREEN|with|DISTAFFS.SPIN*|ning.the*|GOLD|en			1	2	1	
	SCAR|let.and*|BLUE|and|GREEN|with|DISTAFFS|spin*|NING*|the|GOLD|en		1		1	1	1
	SCAR.LET*|and|BLUE|and|GREEN|with.distaffs*|SPIN.NING*|the|GOLD|en			1	1	2	1
	SCAR.LET*|and|BLUE|and|GREEN|with|DISTAFFS|spin*|NING*|the|GOLD|en		1	1		2	1
	scar*|LET*|and|BLUE|and|GREEN|with|DISTAFFS.SPIN*|ning.the*|GOLD|en		1		2	1	1
	scar*|LET*|and|BLUE|and|GREEN|with.distaffs*|SPIN.NING*|the|GOLD|en		1		1	2	2
	scar*|LET*|and|BLUE|and|GREEN|with|DISTAFFS|spin*|NING*|the|GOLD|en		2			2	2
	SCAR|let|AND*|blue*|AND*|green*|WITH*|distaffs*|SPIN.NING*|the|GOLD|en					4	3
	SCAR|let|AND*|blue*|AND*|green*|WITH*|distaffs*|SPIN|ning.the*|GOLD|en				1	3	3
Flax for the gossiping looms, whose noisy shuttles within doors	FLAX|for.the|GOS|sip.ing*|LOOMS|whose|NOI|sy|SHUT|tles.with*|IN|doors*	1		1	1		1
	FLAX|for.the|GOS.SIP*|ing|LOOMS|whose|NOI|sy|SHUT.TLES*|with|IN|doors*					2	1
	FLAX|for.the|GOS|sip.ing*|LOOMS|whose|NOI|sy|SHUT.TLES*|with|IN|doors*			1		1	1
	FLAX|for.the|GOS.SIP*|ing|LOOMS|whose|NOI|sy|SHUT|tles.with*|IN|doors*				1	1	1
	FLAX|for.the|GOS.SIP*|ing|LOOMS|whose|NOI|sy|SHUT.TLES*|with|IN.DOORS*				1	2	
	FLAX|for.the|GOS|sip.ing*|LOOMS|whose|NOI|sy|SHUT.TLES*|with|IN.DOORS*			1	1	1	
	FLAX|for.the|GOS.SIP*|ing|LOOMS|whose|NOI|sy|SHUT|tles.with*|IN.DOORS*				2	1	
	FLAX|for.the|GOS|sip.ing*|LOOMS|whose|NOI|sy|SHUT|tles.with*|IN.DOORS*			1	2		
Mingled their sounds with the whir of the wheels and the songs of the maidens.	MIN|gled.their*|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens	2			1		
	MIN.GLED*|their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens			1		1	
	MIN|gled|THEIR*|sounds*|WITH*|the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens					2	1
	min*|GLED*|their|SOUNDS|with.the|WHIR|of.the|WHEELS|and.the|SONGS|of.the|MAID|ens		1			1	1
Solemnly down the street came the parish priest, and the children	SOL|emn|LY*|down.the|STREET.CAME*|the|PA|rish|PRIEST|and.the|CHIL|dren				1	1	
	SOL|emn|LY*|down|THE*|street*|CAME|the|PA|rish|PRIEST|and.the|CHIL|dren					2	1
Paused in their play to kiss the hand he extended to bless them.	PAUSED|in.their|PLAY|to|KISS|the|HAND|he.ex*|TEND|ed.to*|BLESS|them	2			2		
	PAUSED|in.their|PLAY|to|KISS|the|HAND.HE*|ex|TEND|ed.to*|BLESS|them				2		
	PAUSED|in.their|PLAY|to|KISS|the|HAND.HE*|ex|TEND.ED*|to|BLESS|them			1	1	1	
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he|EX.TEND*|ed.to*|BLESS|them			1	1	1	
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he.ex*|TEND.ED*|to|BLESS|them			1	1	1	
	PAUSED|in.their|PLAY|to|KISS|the|HAND.HE*|ex|TEND|ed|TO*|bless*|THEM*				1	2	1
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he.ex*|TEND|ed|TO*|bless*|THEM*				1	2	1
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he|EX*|tend*|ED*|to|BLESS|them		1			2	1
	PAUSED|in.their|PLAY|to|KISS|the|HAND|he|EX.TEND*|ed|TO*|bless*|THEM*			1		3	1
	PAUSED|in|THEIR*|play*|TO*|kiss*|THE*|hand*|HE|ex|TEND|ed|TO*|bless*|THEM*					5	4
Reverend walked he among them; and up rose matrons and maidens,	RE|ve.rend*|WALKED|he.am*|ONG|them.and|UP*|rose*|MA|trons.and*|MAID|ens [*Bounded]	2		1	2	1	1
	REV|erend|WALKED.HE*|am|ONG|them.and|UP*|rose*|MA|trons.and*|MAID|ens				2	1	1
	REV|erend|WALKED|he.am*|ONG|them.and|UP*|rose*|MA|trons.and*|MAID|ens				2	1	1
	REV|erend|WALKED.HE*|am|ONG|them|AND*|up|ROSE.MA*|trons.and*|MAID|ens				3	1	
	REV|erend|WALKED|he.am*|ONG|them|AND*|up|ROSE.MA*|trons.and*|MAID|ens				3	1	
	RE|ve|REND*|walked*|HE|am|ONG|them.and|UP*|rose*|MA|trons.and*|MAID|ens				1	2	2
	REV|erend|WALKED.HE*|am|ONG|them.and|UP*|rose*|MA.TRONS*|and|MAID|ens			1	1	2	1
	REV|erend|WALKED|he|AM.ONG*|them.and|UP*|rose*|MA|trons.and*|MAID|ens			1	1	2	1
	REV|erend|WALKED|he.am*|ONG|them.and|UP*|rose*|MA.TRONS*|and|MAID|ens			1	1	2	1
	REV|erend|WALKED|he|AM.ONG*|them|AND*|up|ROSE.MA*|trons.and*|MAID|ens			1	2	2	
	REV|erend|WALKED.HE*|am|ONG|them|AND*|up|ROSE|ma*|TRONS*|and|MAID|ens		1		1	2	1
	REV|erend|WALKED|he.am*|ONG|them|AND*|up|ROSE|ma*|TRONS*|and|MAID|ens		1		1	2	1
	RE|ve|REND*|walked*|HE|am|ONG|them.and|UP*|rose*|MA.TRONS*|and|MAID|ens			1		3	2
	REV|erend|WALKED|he|AM.ONG*|them.and|UP*|rose*|MA.TRONS*|and|MAID|ens			2		3	1
	RE|ve|REND*|walked*|HE|am|ONG|them|AND*|up|ROSE|ma*|TRONS*|and|MAID|ens		1			3	2
	REV|erend|WALKED|he|AM.ONG*|them|AND*|up|ROSE|ma*|TRONS*|and|MAID|ens		1	1		3	1
Hailing his slow approach with words of affectionate welcome.	HAIL|ing.his*|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion.ate*|WEL|come	2		1	2		
	HAIL|ing.his*|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion.ate*|WEL|come			2	1	1	
	HAIL|ing.his*|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion|ATE.WEL*|come				3	1	
	HAIL.ING*|his|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion.ate*|WEL|come			2	1	1	
	HAIL|ing.his*|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion|ATE.WEL*|come			1	2	2	
	HAIL.ING*|his|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion.ate*|WEL|come			3		2	
	HAIL.ING*|his|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion|ATE.WEL*|come			1	2	2	
	HAIL|ing.his*|SLOW|ap|PROACH|with|WORDS|of|AF*|fec*|TION*|ate|WEL|come		1		1	2	1
	hail*|ING*|his|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion.ate*|WEL|come		1	1	1	1	1
	HAIL.ING*|his|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion|ATE.WEL*|come			2	1	3	
	HAIL.ING*|his|SLOW|ap|PROACH|with|WORDS|of|AF*|fec*|TION*|ate|WEL|come		1	1		3	1
	hail*|ING*|his|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion.ate*|WEL|come		1	2		2	1
	hail*|ING*|his|SLOW|ap|PROACH|with|WORDS|of.af*|FEC|tion|ATE.WEL*|come		1		2	2	1
	hail*|ING*|his|SLOW|ap|PROACH|with|WORDS|of|AF.FEC*|tion|ATE.WEL*|come		1	1	1	3	1
